"country","Q1","Q3","Q4","Q6","Q12A","Q12B","Q12C","Q12D","Q13A","Q13B","Q13E","Q13F","Q13G","Q17","Q18","Q19B","Q25A","Q25D","Q26A","Q26B","Q26C","Q26D","Q26E","Q26F","Q26G","Q32","Q33","Q39","Q40","Q41","Q42","Q43","Q44","Q70","Q71","Q152","Q164","ISOcountry"
"Argentina",1.68312757201646,2.62962962962963,2.85185185185185,1.74485596707819,2.67901234567901,2.37860082304527,3.11522633744856,2.7201646090535,1.45267489711934,1.76543209876543,1.91769547325103,2.01234567901235,1.5761316872428,1.95884773662551,1.8477366255144,1.60082304526749,2.75308641975309,3.02880658436214,1.66666666666667,1.7201646090535,1.76954732510288,1.77366255144033,1.79012345679012,1.83127572016461,1.84362139917695,1.47736625514403,1.79835390946502,1.87242798353909,1.16460905349794,1.26748971193416,1.46502057613169,2.20164609053498,1.45267489711934,1.21399176954733,1.12757201646091,2.09876543209877,2.42798353909465,"ARG"
"Australia",1.70897832817337,2.41486068111455,3.20433436532508,2.3312693498452,2.18575851393189,2.39318885448916,3.09907120743034,3.04953560371517,1.87306501547988,1.44272445820433,1.98452012383901,1.91950464396285,1.87925696594427,1.77708978328173,1.85448916408669,1.3312693498452,1.94117647058824,3.39318885448916,1.34365325077399,1.41176470588235,1.31269349845201,1.30340557275542,1.23839009287926,1.25386996904025,1.36842105263158,1.81114551083591,1.81733746130031,1.6625386996904,1.19814241486068,1.8297213622291,2.5046439628483,2.17647058823529,1.4953560371517,1.04334365325077,1.04334365325077,2.79876160990712,2.85448916408669,"AUS"
"Brazil",1.59464627151052,3.19502868068834,2.19502868068834,1.68451242829828,2.05162523900574,2.36711281070746,3.17973231357553,2.87571701720841,1.35564053537285,1.86424474187381,1.80305927342256,1.76673040152964,1.54684512428298,1.62523900573614,1.434034416826,1.33843212237094,2.26577437858509,3.03059273422562,1.40152963671128,1.53346080305927,1.54493307839388,1.54493307839388,1.59847036328872,1.58508604206501,1.65200764818356,1.1453154875717,1.90057361376673,1.62332695984704,1.08604206500956,1.10133843212237,1.31166347992352,1.45697896749522,1.5678776290631,1.36902485659656,1.10325047801147,1.45124282982792,2.51051625239006,"BRA"
"Burkina Faso",1.71748878923767,2.65022421524664,1.68609865470852,1.56053811659193,1.55156950672646,1.54260089686099,2.76233183856502,2.51569506726457,1.26457399103139,1.68161434977578,2.00448430493274,2.14798206278027,1.66367713004484,1.5067264573991,2,1.18385650224215,1.74439461883408,2.69058295964126,1.31838565022422,1.29596412556054,1.44843049327354,1.45739910313901,1.54260089686099,1.54260089686099,1.47085201793722,1.29596412556054,1.88340807174888,1.62331838565022,1.14798206278027,1.24215246636771,1.2914798206278,1.54708520179372,1.51121076233184,1.78026905829596,1.15695067264574,1.0762331838565,2.54260089686099,"BFA"
"Canada",1.60883280757098,2.37539432176656,2.85488958990536,2.33123028391167,2.1608832807571,2.65299684542587,3.2397476340694,3.08832807570978,1.81072555205047,1.47003154574132,1.72239747634069,1.78548895899054,1.86119873817035,1.85488958990536,1.66876971608833,1.37223974763407,1.97791798107256,3.32492113564669,1.38801261829653,1.45425867507886,1.42902208201893,1.41955835962145,1.37539432176656,1.39116719242902,1.47003154574132,1.74132492113565,1.82334384858044,1.61514195583596,1.12933753943218,1.71293375394322,2.27444794952681,2.30283911671924,1.44479495268139,1.0410094637224,1.12302839116719,2.49526813880126,2.92744479495268,"CAN"
"Chile",1.82156133828996,2.51301115241636,2.68401486988848,1.46096654275093,2.11152416356877,1.98884758364312,3.05204460966543,2.64312267657993,1.37546468401487,1.87360594795539,1.86988847583643,1.99256505576208,1.62825278810409,1.78810408921933,1.94052044609665,1.26022304832714,2.21933085501859,2.81412639405204,1.37918215613383,1.45353159851301,1.56877323420074,1.51301115241636,1.41263940520446,1.47955390334573,1.48698884758364,1.20446096654275,1.85873605947955,1.76951672862454,1.0817843866171,1.37174721189591,1.46096654275093,2.14498141263941,1.49442379182156,1.14498141263941,1.03717472118959,2.40148698884758,2.22304832713755,"CHL"
"China",1.83783783783784,1.83710737764792,1.83199415631848,1.10810810810811,2.30898466033601,1.38203067932798,2.77867056245435,2.21986851716581,1.95982468955442,2.4645726807889,2.51716581446311,2.29437545653762,2.12125639152666,1.79401022644266,1.94375456537619,1.42731921110299,2.25346968590212,2.11395178962747,1.43097151205259,1.39225712198685,1.58144631117604,1.62235208181154,1.71219868517166,1.58071585098612,1.62527392257122,1.94375456537619,1.68224981738495,1.73557341124909,1.22059897735573,1.64937910883857,1.98758217677137,2.56537618699781,1.39225712198685,1.25712198685172,1.01095690284879,3.30168005843682,1.45507669831994,"CHN"
"Ethiopia",1.38866396761134,1.77732793522267,1.61943319838057,1.30364372469636,1.48582995951417,1.50202429149798,2.41295546558704,2.02834008097166,1.38461538461538,1.63157894736842,1.87044534412955,1.78542510121457,1.38461538461538,1.50607287449393,1.87044534412955,1.06477732793522,1.64777327935223,2.27935222672065,1.1336032388664,1.1417004048583,1.29554655870445,1.26720647773279,1.30364372469636,1.26720647773279,1.30364372469636,1.74089068825911,1.79757085020243,1.37246963562753,1.07287449392713,1.83400809716599,1.40080971659919,1.89068825910931,1.61538461538462,1.78542510121457,1.32388663967611,1.04453441295547,2.36032388663968,"ETH"
"France",1.76958002270148,3.1328036322361,3.35073779795687,2.71623155505108,2.24971623155505,2.57207718501703,3.23950056753689,2.95800227014756,1.73325766174801,1.42792281498297,1.87287173666288,1.83768444948922,1.67423382519864,1.72531214528944,1.87741203178207,1.45970488081725,2.01135073779796,3.38479001135074,1.42565266742338,1.59591373439274,1.37911464245176,1.38251986379115,1.37343927355278,1.41543700340522,1.53121452894438,1.53916004540295,1.83541430192963,1.59364358683314,1.12031782065834,1.58569807037457,1.93189557321226,2.4472190692395,1.45970488081725,1.21793416572077,1.09875141884222,2.88989784335982,3.06810442678774,"FRA"
"Germany",1.82819383259912,1.98017621145374,2.91409691629956,2.19383259911894,2.51762114537445,2.75991189427313,3.06607929515418,2.98458149779736,1.86123348017621,1.37665198237885,2.02422907488987,1.8942731277533,2.16740088105727,2.38325991189427,1.74669603524229,1.53083700440529,2.06167400881057,3.20484581497797,1.51321585903084,1.57488986784141,1.38105726872247,1.33700440528634,1.40308370044053,1.38105726872247,1.55066079295154,1.58810572687225,1.80837004405286,1.79295154185022,1.11453744493392,1.48678414096916,2.35903083700441,2.29295154185022,1.40748898678414,1.0704845814978,1.02863436123348,2.56828193832599,2.48017621145374,"DEU"
